model_name,experiment,i,alpha,alpha_norm,alignment_pressure,correct,response_type
qwen25_7b,alphabetical_think_answer,303,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,288,-5.46,-0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,302,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,294,-5.46,-0.2,-0.2,1,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,304,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,305,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,299,-5.46,-0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,301,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,308,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,307,0.0,0.0,-0.0,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,296,-5.46,-0.2,-0.2,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,309,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,306,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,310,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,297,-5.46,-0.2,0.2,1,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,314,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,312,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,313,0.0,0.0,-0.0,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,316,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,322,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,318,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,311,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,315,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,320,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,319,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,317,0.0,0.0,-0.0,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,323,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,325,0.0,0.0,-0.0,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,324,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,326,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,327,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,328,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,321,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,329,0.0,0.0,-0.0,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,330,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,331,0.0,0.0,-0.0,1,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,332,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,337,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,334,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,340,0.0,0.0,0.0,1,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,343,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,339,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,333,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,344,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,341,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,346,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,335,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,338,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,342,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,336,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,352,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,345,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,348,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,350,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,353,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,351,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,363,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,356,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,358,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,347,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,360,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,361,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,354,0.0,0.0,0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,349,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,362,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,366,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,357,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,355,0.0,0.0,-0.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,368,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,364,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,359,0.0,0.0,-0.0,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,365,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,367,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,370,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,378,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,384,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,375,4.98,0.2,-0.2,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,374,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,376,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,380,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,372,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,382,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,373,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,369,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,379,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,383,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,377,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,371,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,391,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,386,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,381,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,393,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,387,4.98,0.2,-0.2,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,389,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,398,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,392,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,385,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,397,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,390,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,394,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,388,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,395,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,399,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,404,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,396,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,402,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,406,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,401,4.98,0.2,-0.2,0,Sound Reasoning
qwen25_7b,alphabetical_think_answer,405,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,400,4.98,0.2,0.2,1,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,408,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,407,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,414,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,413,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,410,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,412,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,403,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,411,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,416,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,418,4.98,0.2,0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,415,4.98,0.2,-0.2,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,419,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,426,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,409,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,417,4.98,0.2,-0.2,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,421,9.96,0.4,-0.4,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,425,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,423,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,429,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,424,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,433,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,427,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,428,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,422,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,420,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,436,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,430,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,432,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,440,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,438,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,439,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,435,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,431,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,434,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,444,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,437,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,441,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,448,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,442,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,447,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,446,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,449,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,443,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,454,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,456,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,445,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,452,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,453,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,461,9.96,0.4,-0.4,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,450,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,458,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,462,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,457,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,451,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,455,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,463,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,460,9.96,0.4,0.4,1,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,459,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,477,9.96,0.4,-0.4,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,464,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,465,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,468,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,467,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,466,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,473,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,475,9.96,0.4,-0.4,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,474,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,470,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,469,9.96,0.4,-0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,480,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,479,9.96,0.4,-0.4,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,472,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,478,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,481,14.94,0.6,-0.6,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,476,9.96,0.4,0.4,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,482,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,483,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,471,9.96,0.4,-0.4,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,486,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,484,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,487,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,485,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,488,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,491,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,492,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,496,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,493,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,490,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,489,14.94,0.6,-0.6,0,Ambiguous/Mixed
qwen25_7b,alphabetical_think_answer,495,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,494,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,501,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,500,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,502,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,498,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,499,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,504,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,506,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,508,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,497,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,503,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,513,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,505,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,510,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,509,14.94,0.6,-0.6,0,Ambiguous/Mixed
qwen25_7b,alphabetical_think_answer,507,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,511,14.94,0.6,-0.6,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,515,14.94,0.6,-0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,516,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,514,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,512,14.94,0.6,-0.6,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,517,14.94,0.6,-0.6,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,518,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,522,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,527,14.94,0.6,-0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,521,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,523,14.94,0.6,-0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,524,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,520,14.94,0.6,0.6,1,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,525,14.94,0.6,-0.6,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,519,14.94,0.6,-0.6,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,536,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,532,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,530,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,526,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,533,14.94,0.6,-0.6,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,534,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,528,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,538,14.94,0.6,0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,535,14.94,0.6,-0.6,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,529,14.94,0.6,-0.6,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,540,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,531,14.94,0.6,-0.6,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,542,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,546,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,541,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,543,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,548,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,537,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,539,14.94,0.6,-0.6,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,550,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,552,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,544,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,554,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,551,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,549,19.92,0.8,-0.8,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,557,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,555,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,545,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,553,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,558,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,556,19.92,0.8,0.8,1,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,559,19.92,0.8,-0.8,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,547,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,564,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,562,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,561,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,566,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,571,19.92,0.8,-0.8,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,565,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,573,19.92,0.8,0.8,1,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,563,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,568,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,560,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,574,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,567,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,569,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,570,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,575,19.92,0.8,-0.8,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,572,19.92,0.8,-0.8,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,582,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,576,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,577,19.92,0.8,-0.8,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,584,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,586,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,578,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,579,19.92,0.8,-0.8,0,Incoherent Hallucination
qwen25_7b,alphabetical_think_answer,588,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,581,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,591,19.92,0.8,-0.8,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,580,19.92,0.8,0.8,1,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,592,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,587,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,589,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,596,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,585,19.92,0.8,-0.8,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,583,19.92,0.8,-0.8,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,590,19.92,0.8,0.8,1,Ambiguous/Mixed
qwen25_7b,alphabetical_think_answer,595,19.92,0.8,-0.8,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,601,24.9,1.0,-1.0,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,599,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,593,19.92,0.8,-0.8,0,Contradictory Reasoning
qwen25_7b,alphabetical_think_answer,594,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,597,19.92,0.8,-0.8,0,Coherent Hallucination
qwen25_7b,alphabetical_think_answer,598,19.92,0.8,0.8,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,602,24.9,1.0,1.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,604,24.9,1.0,1.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,600,24.9,1.0,1.0,1,Ambiguous/Mixed
qwen25_7b,alphabetical_think_answer,606,24.9,1.0,1.0,1,Sound Reasoning
qwen25_7b,alphabetical_think_answer,605,24.9,1.0,-1.0,0,Incoherent Hallucination
